date,product_id,product_name,category,supplier,unit_price,unit_cost,units_sold,sales_revenue,current_stock,lead_time_days,reorder_cost,holding_cost_per_unit,region,store_id
2023-01-01,P019,Deodorant Spray 150ml,Personal Care,FreshScent Co,3.8,1.6,66,250.8,1284,5,65,0.11,South,S02
2023-01-01,P020,Dish Soap 500ml,Household,CleanHome Ltd,2.2,0.95,96,211.2,1854,5,55,0.07,South,S02
2023-01-01,P021,Paper Towels 6pk,Household,PaperPlus Co,5.5,2.5,76,418.0,1574,6,80,0.16,South,S02
2023-01-01,P022,Laundry Detergent 1kg,Household,WashWell Inc,7.99,3.5,27,215.73,573,8,100,0.22,South,S02
2023-01-01,P023,Trash Bags 20pk,Household,CleanHome Ltd,4.5,2.0,51,229.5,609,6,70,0.13,South,S02
2023-01-01,P024,All-Purpose Cleaner 750ml,Household,WashWell Inc,3.2,1.4,184,588.8,716,5,60,0.09,South,S02
2023-01-01,P025,Whole Milk 2L,Dairy,FarmFresh Dairy,2.1,1.1,121,254.1,3479,2,40,0.06,South,S02
2023-01-01,P026,Greek Yoghurt 500g,Dairy,FarmFresh Dairy,2.8,1.3,92,257.6,2308,2,40,0.07,South,S02
2023-01-01,P027,Cheddar Cheese 400g,Dairy,CheeseCraft Ltd,4.5,2.2,48,216.0,1602,3,55,0.12,South,S02
2023-01-01,P028,Butter 250g,Dairy,CreamTop Co,3.5,1.8,51,178.5,789,3,50,0.1,South,S02
2023-01-01,P029,Cream Cheese 200g,Dairy,CreamTop Co,2.9,1.4,36,104.4,564,3,48,0.08,South,S02
2023-01-01,P030,Skimmed Milk 1L,Dairy,FarmFresh Dairy,1.6,0.8,81,129.6,2019,2,38,0.05,South,S02
2023-01-01,P031,White Bread 800g,Bakery,BakeMaster Ltd,1.8,0.75,214,385.2,3686,2,35,0.05,South,S02
2023-01-01,P032,Sourdough Loaf 600g,Bakery,ArtisanBake Co,3.5,1.6,67,234.5,1733,2,45,0.09,South,S02
2023-01-01,P033,Croissants 4pk,Bakery,BakeMaster Ltd,2.6,1.1,46,119.6,1004,2,40,0.07,South,S02
2023-01-01,P034,Muffins 6pk,Bakery,SweetBakes Inc,3.2,1.4,29,92.8,721,2,42,0.08,South,S02
2023-01-01,P035,Rye Bread 500g,Bakery,ArtisanBake Co,2.9,1.25,17,49.3,523,2,40,0.07,South,S02
2023-01-01,P036,Frozen Pizza 400g,Frozen Foods,IceBite Foods,4.2,1.9,134,562.8,2116,5,70,0.13,South,S02
2023-01-01,P037,Frozen Peas 1kg,Frozen Foods,IceBite Foods,2.5,1.1,30,75.0,1770,5,55,0.08,South,S02
2023-01-01,P038,Frozen Chips 750g,Frozen Foods,FrostFarm Ltd,2.8,1.2,75,210.0,1875,5,58,0.09,South,S02
2023-01-01,P039,Ice Cream 1L,Frozen Foods,CoolCreams Co,4.99,2.1,114,568.86,1986,4,65,0.14,South,S02
2023-01-01,P040,Frozen Fish Fillets 500g,Frozen Foods,FrostFarm Ltd,6.5,3.0,24,156.0,636,6,90,0.18,South,S02
2023-01-01,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,1.5,0.6,73,109.5,2327,3,50,0.05,East,S03
2023-01-01,P002,Orange Juice 1L,Beverages,FruitVine Co,2.2,1.1,87,191.4,2013,4,60,0.08,East,S03
2023-01-01,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,1.8,0.75,27,48.6,1173,5,55,0.06,East,S03
2023-01-01,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,3.5,1.8,36,126.0,324,7,70,0.1,East,S03
2023-01-01,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,5.99,2.8,124,742.76,1526,6,80,0.15,East,S03
2023-01-01,P006,Coconut Water 330ml,Beverages,TropicSip Co,2.0,0.9,23,46.0,427,5,55,0.07,East,S03
2023-01-01,P007,Potato Chips 150g,Snacks,CrunchCo Foods,1.99,0.85,102,202.98,2598,4,50,0.06,East,S03
2023-01-01,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,4.5,2.2,47,211.5,493,7,75,0.12,East,S03
2023-01-01,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,1.2,0.55,226,271.2,2774,3,45,0.04,East,S03
2023-01-01,P010,Rice Cakes 100g,Snacks,GrainCraft Foods,1.6,0.7,27,43.2,573,5,50,0.05,East,S03
2023-01-01,P011,Popcorn Microwave 3pk,Snacks,PopKing Ltd,2.5,1.0,36,90.0,864,4,55,0.07,East,S03
2023-01-01,P012,Granola Bar 6pk,Snacks,FitSnack Co,3.2,1.5,74,236.8,1426,5,60,0.09,East,S03
2023-01-01,P013,Pretzels 200g,Snacks,CrunchCo Foods,2.1,0.95,32,67.2,628,4,52,0.06,East,S03
2023-01-01,P014,Shampoo 400ml,Personal Care,GlowCare Ltd,4.99,2.1,46,229.54,704,7,80,0.14,East,S03
2023-01-01,P015,Toothpaste 100ml,Personal Care,BrightSmile Inc,2.5,1.1,75,187.5,1725,5,60,0.08,East,S03
2023-01-01,P016,Hand Sanitizer 250ml,Personal Care,PureGuard Co,3.0,1.2,75,225.0,975,4,55,0.09,East,S03
2023-01-01,P017,Body Lotion 200ml,Personal Care,GlowCare Ltd,5.5,2.4,23,126.5,517,7,85,0.15,East,S03
2023-01-01,P018,Razor 5pk,Personal Care,SmoothShave Ltd,6.99,3.1,18,125.82,432,6,90,0.18,East,S03
2023-01-01,P019,Deodorant Spray 150ml,Personal Care,FreshScent Co,3.8,1.6,87,330.6,1263,5,65,0.11,East,S03
2023-01-01,P020,Dish Soap 500ml,Household,CleanHome Ltd,2.2,0.95,78,171.6,1872,5,55,0.07,East,S03
2023-01-01,P021,Paper Towels 6pk,Household,PaperPlus Co,5.5,2.5,52,286.0,1598,6,80,0.16,East,S03
2023-01-01,P022,Laundry Detergent 1kg,Household,WashWell Inc,7.99,3.5,21,167.79,579,8,100,0.22,East,S03
2023-01-01,P023,Trash Bags 20pk,Household,CleanHome Ltd,4.5,2.0,31,139.5,629,6,70,0.13,East,S03
2023-01-01,P024,All-Purpose Cleaner 750ml,Household,WashWell Inc,3.2,1.4,55,176.0,845,5,60,0.09,East,S03
2023-01-01,P025,Whole Milk 2L,Dairy,FarmFresh Dairy,2.1,1.1,100,210.0,3500,2,40,0.06,East,S03
2023-01-01,P026,Greek Yoghurt 500g,Dairy,FarmFresh Dairy,2.8,1.3,124,347.2,2276,2,40,0.07,East,S03
2023-01-01,P027,Cheddar Cheese 400g,Dairy,CheeseCraft Ltd,4.5,2.2,70,315.0,1580,3,55,0.12,East,S03
2023-01-01,P028,Butter 250g,Dairy,CreamTop Co,3.5,1.8,49,171.5,791,3,50,0.1,East,S03
2023-01-01,P029,Cream Cheese 200g,Dairy,CreamTop Co,2.9,1.4,28,81.2,572,3,48,0.08,East,S03
2023-01-01,P030,Skimmed Milk 1L,Dairy,FarmFresh Dairy,1.6,0.8,107,171.2,1993,2,38,0.05,East,S03
2023-01-01,P031,White Bread 800g,Bakery,BakeMaster Ltd,1.8,0.75,166,298.8,3734,2,35,0.05,East,S03
2023-01-01,P032,Sourdough Loaf 600g,Bakery,ArtisanBake Co,3.5,1.6,98,343.0,1702,2,45,0.09,East,S03
2023-01-01,P033,Croissants 4pk,Bakery,BakeMaster Ltd,2.6,1.1,22,57.2,1028,2,40,0.07,East,S03
2023-01-01,P034,Muffins 6pk,Bakery,SweetBakes Inc,3.2,1.4,37,118.4,713,2,42,0.08,East,S03
2023-01-01,P035,Rye Bread 500g,Bakery,ArtisanBake Co,2.9,1.25,20,58.0,520,2,40,0.07,East,S03
2023-01-01,P036,Frozen Pizza 400g,Frozen Foods,IceBite Foods,4.2,1.9,170,714.0,2080,5,70,0.13,East,S03
2023-01-01,P037,Frozen Peas 1kg,Frozen Foods,IceBite Foods,2.5,1.1,77,192.5,1723,5,55,0.08,East,S03
2023-01-01,P038,Frozen Chips 750g,Frozen Foods,FrostFarm Ltd,2.8,1.2,100,280.0,1850,5,58,0.09,East,S03
2023-01-01,P039,Ice Cream 1L,Frozen Foods,CoolCreams Co,4.99,2.1,110,548.9,1990,4,65,0.14,East,S03
2023-01-01,P040,Frozen Fish Fillets 500g,Frozen Foods,FrostFarm Ltd,6.5,3.0,16,104.0,644,6,90,0.18,East,S03
2023-01-01,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,1.5,0.6,96,144.0,2304,3,50,0.05,West,S04
2023-01-01,P002,Orange Juice 1L,Beverages,FruitVine Co,2.2,1.1,76,167.2,2024,4,60,0.08,West,S04
2023-01-01,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,1.8,0.75,23,41.4,1177,5,55,0.06,West,S04
2023-01-01,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,3.5,1.8,22,77.0,338,7,70,0.1,West,S04
2023-01-01,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,5.99,2.8,65,389.35,1585,6,80,0.15,West,S04
2023-01-01,P006,Coconut Water 330ml,Beverages,TropicSip Co,2.0,0.9,18,36.0,432,5,55,0.07,West,S04
2023-01-01,P007,Potato Chips 150g,Snacks,CrunchCo Foods,1.99,0.85,116,230.84,2584,4,50,0.06,West,S04
2023-01-01,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,4.5,2.2,46,207.0,494,7,75,0.12,West,S04
2023-01-01,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,1.2,0.55,298,357.6,2702,3,45,0.04,West,S04
2023-01-01,P010,Rice Cakes 100g,Snacks,GrainCraft Foods,1.6,0.7,33,52.8,567,5,50,0.05,West,S04
2023-01-01,P011,Popcorn Microwave 3pk,Snacks,PopKing Ltd,2.5,1.0,126,315.0,774,4,55,0.07,West,S04
2023-01-01,P012,Granola Bar 6pk,Snacks,FitSnack Co,3.2,1.5,85,272.0,1415,5,60,0.09,West,S04
2023-01-01,P013,Pretzels 200g,Snacks,CrunchCo Foods,2.1,0.95,15,31.5,645,4,52,0.06,West,S04
2023-01-01,P014,Shampoo 400ml,Personal Care,GlowCare Ltd,4.99,2.1,40,199.6,710,7,80,0.14,West,S04
2023-01-01,P015,Toothpaste 100ml,Personal Care,BrightSmile Inc,2.5,1.1,102,255.0,1698,5,60,0.08,West,S04
2023-01-01,P016,Hand Sanitizer 250ml,Personal Care,PureGuard Co,3.0,1.2,51,153.0,999,4,55,0.09,West,S04
2023-01-01,P017,Body Lotion 200ml,Personal Care,GlowCare Ltd,5.5,2.4,34,187.0,506,7,85,0.15,West,S04
2023-01-01,P018,Razor 5pk,Personal Care,SmoothShave Ltd,6.99,3.1,30,209.7,420,6,90,0.18,West,S04
2023-01-01,P019,Deodorant Spray 150ml,Personal Care,FreshScent Co,3.8,1.6,54,205.2,1296,5,65,0.11,West,S04
2023-01-01,P020,Dish Soap 500ml,Household,CleanHome Ltd,2.2,0.95,147,323.4,1803,5,55,0.07,West,S04
2023-01-01,P021,Paper Towels 6pk,Household,PaperPlus Co,5.5,2.5,82,451.0,1568,6,80,0.16,West,S04
2023-01-01,P022,Laundry Detergent 1kg,Household,WashWell Inc,7.99,3.5,17,135.83,583,8,100,0.22,West,S04
2023-01-01,P023,Trash Bags 20pk,Household,CleanHome Ltd,4.5,2.0,28,126.0,632,6,70,0.13,West,S04
2023-01-01,P024,All-Purpose Cleaner 750ml,Household,WashWell Inc,3.2,1.4,31,99.2,869,5,60,0.09,West,S04
2023-01-01,P025,Whole Milk 2L,Dairy,FarmFresh Dairy,2.1,1.1,126,264.6,3474,2,40,0.06,West,S04
2023-01-01,P026,Greek Yoghurt 500g,Dairy,FarmFresh Dairy,2.8,1.3,142,397.6,2258,2,40,0.07,West,S04
2023-01-01,P027,Cheddar Cheese 400g,Dairy,CheeseCraft Ltd,4.5,2.2,69,310.5,1581,3,55,0.12,West,S04
2023-01-01,P028,Butter 250g,Dairy,CreamTop Co,3.5,1.8,50,175.0,790,3,50,0.1,West,S04
2023-01-01,P029,Cream Cheese 200g,Dairy,CreamTop Co,2.9,1.4,20,58.0,580,3,48,0.08,West,S04
2023-01-01,P030,Skimmed Milk 1L,Dairy,FarmFresh Dairy,1.6,0.8,80,128.0,2020,2,38,0.05,West,S04
2023-01-01,P031,White Bread 800g,Bakery,BakeMaster Ltd,1.8,0.75,192,345.6,3708,2,35,0.05,West,S04
2023-01-01,P032,Sourdough Loaf 600g,Bakery,ArtisanBake Co,3.5,1.6,74,259.0,1726,2,45,0.09,West,S04
2023-01-01,P033,Croissants 4pk,Bakery,BakeMaster Ltd,2.6,1.1,57,148.2,993,2,40,0.07,West,S04
2023-01-01,P034,Muffins 6pk,Bakery,SweetBakes Inc,3.2,1.4,43,137.6,707,2,42,0.08,West,S04
2023-01-01,P035,Rye Bread 500g,Bakery,ArtisanBake Co,2.9,1.25,23,66.7,517,2,40,0.07,West,S04
2023-01-01,P036,Frozen Pizza 400g,Frozen Foods,IceBite Foods,4.2,1.9,132,554.4,2118,5,70,0.13,West,S04
2023-01-01,P037,Frozen Peas 1kg,Frozen Foods,IceBite Foods,2.5,1.1,90,225.0,1710,5,55,0.08,West,S04
2023-01-01,P038,Frozen Chips 750g,Frozen Foods,FrostFarm Ltd,2.8,1.2,90,252.0,1860,5,58,0.09,West,S04
2023-01-01,P039,Ice Cream 1L,Frozen Foods,CoolCreams Co,4.99,2.1,62,309.38,2038,4,65,0.14,West,S04
2023-01-01,P040,Frozen Fish Fillets 500g,Frozen Foods,FrostFarm Ltd,6.5,3.0,50,325.0,610,6,90,0.18,West,S04
2023-01-01,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,1.5,0.6,99,148.5,2301,3,50,0.05,Central,S05
2023-01-01,P002,Orange Juice 1L,Beverages,FruitVine Co,2.2,1.1,91,200.2,2009,4,60,0.08,Central,S05
2023-01-01,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,1.8,0.75,60,108.0,1140,5,55,0.06,Central,S05
2023-01-01,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,3.5,1.8,29,101.5,331,7,70,0.1,Central,S05
2023-01-01,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,5.99,2.8,159,952.41,1491,6,80,0.15,Central,S05
2023-01-01,P006,Coconut Water 330ml,Beverages,TropicSip Co,2.0,0.9,19,38.0,431,5,55,0.07,Central,S05
2023-01-01,P007,Potato Chips 150g,Snacks,CrunchCo Foods,1.99,0.85,94,187.06,2606,4,50,0.06,Central,S05
2023-01-01,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,4.5,2.2,35,157.5,505,7,75,0.12,Central,S05
2023-01-01,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,1.2,0.55,200,240.0,2800,3,45,0.04,Central,S05
2023-01-01,P010,Rice Cakes 100g,Snacks,GrainCraft Foods,1.6,0.7,25,40.0,575,5,50,0.05,Central,S05
2023-01-01,P011,Popcorn Microwave 3pk,Snacks,PopKing Ltd,2.5,1.0,41,102.5,859,4,55,0.07,Central,S05
2023-01-01,P012,Granola Bar 6pk,Snacks,FitSnack Co,3.2,1.5,70,224.0,1430,5,60,0.09,Central,S05
2023-01-01,P013,Pretzels 200g,Snacks,CrunchCo Foods,2.1,0.95,37,77.7,623,4,52,0.06,Central,S05
2023-01-01,P014,Shampoo 400ml,Personal Care,GlowCare Ltd,4.99,2.1,42,209.58,708,7,80,0.14,Central,S05
2023-01-01,P015,Toothpaste 100ml,Personal Care,BrightSmile Inc,2.5,1.1,81,202.5,1719,5,60,0.08,Central,S05
2023-01-01,P016,Hand Sanitizer 250ml,Personal Care,PureGuard Co,3.0,1.2,75,225.0,975,4,55,0.09,Central,S05
2023-01-01,P017,Body Lotion 200ml,Personal Care,GlowCare Ltd,5.5,2.4,45,247.5,495,7,85,0.15,Central,S05
2023-01-01,P018,Razor 5pk,Personal Care,SmoothShave Ltd,6.99,3.1,12,83.88,438,6,90,0.18,Central,S05
2023-01-01,P019,Deodorant Spray 150ml,Personal Care,FreshScent Co,3.8,1.6,55,209.0,1295,5,65,0.11,Central,S05
2023-01-01,P020,Dish Soap 500ml,Household,CleanHome Ltd,2.2,0.95,97,213.4,1853,5,55,0.07,Central,S05
2023-01-01,P021,Paper Towels 6pk,Household,PaperPlus Co,5.5,2.5,91,500.5,1559,6,80,0.16,Central,S05
2023-01-01,P022,Laundry Detergent 1kg,Household,WashWell Inc,7.99,3.5,21,167.79,579,8,100,0.22,Central,S05
2023-01-01,P023,Trash Bags 20pk,Household,CleanHome Ltd,4.5,2.0,32,144.0,628,6,70,0.13,Central,S05
2023-01-01,P024,All-Purpose Cleaner 750ml,Household,WashWell Inc,3.2,1.4,27,86.4,873,5,60,0.09,Central,S05
2023-01-01,P025,Whole Milk 2L,Dairy,FarmFresh Dairy,2.1,1.1,165,346.5,3435,2,40,0.06,Central,S05
2023-01-01,P026,Greek Yoghurt 500g,Dairy,FarmFresh Dairy,2.8,1.3,74,207.2,2326,2,40,0.07,Central,S05
2023-01-01,P027,Cheddar Cheese 400g,Dairy,CheeseCraft Ltd,4.5,2.2,56,252.0,1594,3,55,0.12,Central,S05
2023-01-01,P028,Butter 250g,Dairy,CreamTop Co,3.5,1.8,48,168.0,792,3,50,0.1,Central,S05
2023-01-01,P029,Cream Cheese 200g,Dairy,CreamTop Co,2.9,1.4,13,37.7,587,3,48,0.08,Central,S05
2023-01-01,P030,Skimmed Milk 1L,Dairy,FarmFresh Dairy,1.6,0.8,101,161.6,1999,2,38,0.05,Central,S05
2023-01-01,P031,White Bread 800g,Bakery,BakeMaster Ltd,1.8,0.75,141,253.8,3759,2,35,0.05,Central,S05
2023-01-01,P032,Sourdough Loaf 600g,Bakery,ArtisanBake Co,3.5,1.6,98,343.0,1702,2,45,0.09,Central,S05
2023-01-01,P033,Croissants 4pk,Bakery,BakeMaster Ltd,2.6,1.1,50,130.0,1000,2,40,0.07,Central,S05
2023-01-01,P034,Muffins 6pk,Bakery,SweetBakes Inc,3.2,1.4,54,172.8,696,2,42,0.08,Central,S05
2023-01-01,P035,Rye Bread 500g,Bakery,ArtisanBake Co,2.9,1.25,20,58.0,520,2,40,0.07,Central,S05
2023-01-01,P036,Frozen Pizza 400g,Frozen Foods,IceBite Foods,4.2,1.9,165,693.0,2085,5,70,0.13,Central,S05
2023-01-01,P037,Frozen Peas 1kg,Frozen Foods,IceBite Foods,2.5,1.1,61,152.5,1739,5,55,0.08,Central,S05
2023-01-01,P038,Frozen Chips 750g,Frozen Foods,FrostFarm Ltd,2.8,1.2,53,148.4,1897,5,58,0.09,Central,S05
2023-01-01,P039,Ice Cream 1L,Frozen Foods,CoolCreams Co,4.99,2.1,133,663.67,1967,4,65,0.14,Central,S05
2023-01-01,P040,Frozen Fish Fillets 500g,Frozen Foods,FrostFarm Ltd,6.5,3.0,23,149.5,637,6,90,0.18,Central,S05
2023-01-02,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,1.5,0.6,128,192.0,2201,3,50,0.05,North,S01
2023-01-02,P002,Orange Juice 1L,Beverages,FruitVine Co,2.2,1.1,56,123.2,1969,4,60,0.08,North,S01
2023-01-02,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,1.8,0.75,31,55.8,1065,5,55,0.06,North,S01
2023-01-02,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,3.5,1.8,37,129.5,297,7,70,0.1,North,S01
2023-01-02,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,5.99,2.8,89,533.11,1469,6,80,0.15,North,S01
2023-01-02,P006,Coconut Water 330ml,Beverages,TropicSip Co,2.0,0.9,10,20.0,408,5,55,0.07,North,S01
2023-01-02,P007,Potato Chips 150g,Snacks,CrunchCo Foods,1.99,0.85,91,181.09,2483,4,50,0.06,North,S01
2023-01-02,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,4.5,2.2,48,216.0,450,7,75,0.12,North,S01
2023-01-02,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,1.2,0.55,166,199.2,2615,3,45,0.04,North,S01
