product_id,product_name,category,unit_price,unit_cost,lead_time_days,reorder_cost,holding_cost_per_unit,current_stock,history_days,avg_daily_demand,std_daily_demand,cv,demand_variability,avg_demand_last_7d,avg_demand_last_14d,avg_demand_last_30d,forecast_daily_demand,forecast_next_7d,forecast_next_14d,forecast_next_30d,days_of_stock_remaining,stockout_risk,reference_date
P005,Coffee Capsules 10pk,Beverages,5.99,2.8,6,80.0,0.15,1534,547,390.18,97.59,0.2501,Stable,287.57,295.57,306.7,293.8,2056.6,4113.2,8813.9,5.2,HIGH,2024-06-30
P012,Granola Bar 6pk,Snacks,3.2,1.5,5,60.0,0.09,1152,547,277.4,46.01,0.1659,Stable,281.71,278.36,279.4,280.24,1961.7,3923.4,8407.3,4.1,HIGH,2024-06-30
P016,Hand Sanitizer 250ml,Personal Care,3.0,1.2,4,55.0,0.09,666,547,276.44,101.75,0.3681,Moderate,265.86,253.71,229.07,254.86,1784.0,3568.0,7645.7,2.6,HIGH,2024-06-30
P003,Energy Drink 250ml,Beverages,1.8,0.75,5,55.0,0.06,1062,547,251.36,85.91,0.3418,Moderate,211.86,202.71,236.97,214.14,1499.0,2997.9,6424.1,5.0,HIGH,2024-06-30
P033,Croissants 4pk,Bakery,2.6,1.1,2,40.0,0.07,464,547,212.92,61.66,0.2896,Stable,195.29,207.0,217.13,203.17,1422.2,2844.4,6095.1,2.3,MEDIUM,2024-06-30
P011,Popcorn Microwave 3pk,Snacks,2.5,1.0,4,55.0,0.07,607,547,187.07,59.85,0.3199,Moderate,191.86,186.79,183.03,188.57,1320.0,2640.0,5657.1,3.2,HIGH,2024-06-30
P024,All-Purpose Cleaner 750ml,Household,3.2,1.4,5,60.0,0.09,454,547,186.71,60.1,0.3219,Moderate,175.57,168.36,174.73,173.24,1212.7,2425.4,5197.2,2.6,HIGH,2024-06-30
P006,Coconut Water 330ml,Beverages,2.0,0.9,5,55.0,0.07,302,547,114.88,32.3,0.2811,Stable,144.86,140.86,145.47,143.78,1006.5,2012.9,4313.4,2.1,HIGH,2024-06-30
P028,Butter 250g,Dairy,3.5,1.8,3,50.0,0.1,569,547,197.5,53.99,0.2734,Stable,133.71,150.29,148.03,141.55,990.8,1981.7,4246.5,4.0,MEDIUM,2024-06-30
P014,Shampoo 400ml,Personal Care,4.99,2.1,7,80.0,0.14,554,547,138.91,26.01,0.1872,Stable,131.0,132.64,135.17,132.33,926.3,1852.6,3969.8,4.2,HIGH,2024-06-30
P034,Muffins 6pk,Bakery,3.2,1.4,2,42.0,0.08,509,547,139.31,26.92,0.1932,Stable,129.14,135.0,134.1,131.89,923.2,1846.5,3956.7,3.9,MEDIUM,2024-06-30
P040,Frozen Fish Fillets 500g,Frozen Foods,6.5,3.0,6,90.0,0.18,478,547,122.32,25.69,0.21,Stable,128.29,131.57,125.27,128.67,900.7,1801.3,3860.0,3.7,HIGH,2024-06-30
P023,Trash Bags 20pk,Household,4.5,2.0,6,70.0,0.13,527,547,121.87,25.35,0.208,Stable,131.0,121.93,120.6,126.2,883.4,1766.8,3786.0,4.2,HIGH,2024-06-30
P013,Pretzels 200g,Snacks,2.1,0.95,4,52.0,0.06,490,547,122.21,24.47,0.2002,Stable,124.57,124.71,121.93,124.09,868.6,1737.2,3722.6,3.9,HIGH,2024-06-30
P010,Rice Cakes 100g,Snacks,1.6,0.7,5,50.0,0.05,460,547,109.88,22.04,0.2006,Stable,122.29,114.57,113.33,118.18,827.3,1654.5,3545.4,3.9,HIGH,2024-06-30
P029,Cream Cheese 200g,Dairy,2.9,1.4,3,48.0,0.08,408,547,111.45,23.23,0.2085,Stable,115.86,115.86,111.77,115.04,805.3,1610.5,3451.2,3.5,MEDIUM,2024-06-30
P022,Laundry Detergent 1kg,Household,7.99,3.5,8,100.0,0.22,503,547,111.68,23.91,0.2141,Stable,117.14,112.36,113.47,114.97,804.8,1609.6,3449.2,4.4,HIGH,2024-06-30
P017,Body Lotion 200ml,Personal Care,5.5,2.4,7,85.0,0.15,425,547,126.42,36.12,0.2857,Stable,103.43,106.43,104.73,104.59,732.1,1464.3,3137.7,4.1,HIGH,2024-06-30
P008,Mixed Nuts 200g,Snacks,4.5,2.2,7,75.0,0.12,338,547,125.25,34.57,0.276,Stable,106.29,102.5,100.93,104.08,728.6,1457.1,3122.4,3.2,HIGH,2024-06-30
P035,Rye Bread 500g,Bakery,2.9,1.25,2,40.0,0.07,289,547,100.03,21.35,0.2135,Stable,101.29,99.64,105.13,101.56,710.9,1421.9,3046.9,2.8,MEDIUM,2024-06-30
P018,Razor 5pk,Personal Care,6.99,3.1,6,90.0,0.18,358,547,83.93,18.32,0.2183,Stable,83.43,81.64,79.33,82.07,574.5,1149.0,2462.2,4.4,HIGH,2024-06-30
P004,Green Tea Bags 50pk,Beverages,3.5,1.8,7,70.0,0.1,246,547,83.97,23.47,0.2795,Stable,72.0,69.36,67.03,70.21,491.5,983.0,2106.4,3.5,HIGH,2024-06-30
