product_id,product_name,category,unit_price,unit_cost,lead_time_days,reorder_cost,holding_cost_per_unit,current_stock,avg_daily_demand,std_daily_demand,forecast_daily_demand,forecast_next_7d,forecast_next_14d,forecast_next_30d,safety_stock_units,reorder_point_units,suggested_reorder_qty,estimated_order_value,inventory_status,reorder_priority,days_of_stock_remaining,demand_variability,stockout_risk,reference_date
P012,Granola Bar 6pk,Snacks,3.2,1.5,5,60.0,0.09,1152,277.4,46.01,280.24,1961.7,3923.4,8407.3,103,1490,7358,11037.0,Reorder Soon,Medium,4.1,Stable,HIGH,2024-06-30
P016,Hand Sanitizer 250ml,Personal Care,3.0,1.2,4,55.0,0.09,666,276.44,101.75,254.86,1784.0,3568.0,7645.7,204,1310,7184,8620.8,Reorder Soon,Medium,2.6,Moderate,HIGH,2024-06-30
P033,Croissants 4pk,Bakery,2.6,1.1,2,40.0,0.07,464,212.92,61.66,203.17,1422.2,2844.4,6095.1,88,514,5719,6290.9,Reorder Soon,Medium,2.3,Stable,MEDIUM,2024-06-30
P003,Energy Drink 250ml,Beverages,1.8,0.75,5,55.0,0.06,1062,251.36,85.91,214.14,1499.0,2997.9,6424.1,193,1449,5555,4166.25,Reorder Soon,Medium,5.0,Moderate,HIGH,2024-06-30
P011,Popcorn Microwave 3pk,Snacks,2.5,1.0,4,55.0,0.07,607,187.07,59.85,188.57,1320.0,2640.0,5657.1,120,868,5170,5170.0,Reorder Soon,Medium,3.2,Moderate,HIGH,2024-06-30
P024,All-Purpose Cleaner 750ml,Household,3.2,1.4,5,60.0,0.09,454,186.71,60.1,173.24,1212.7,2425.4,5197.2,135,1068,4878,6829.2,Reorder Soon,Medium,2.6,Moderate,HIGH,2024-06-30
P028,Butter 250g,Dairy,3.5,1.8,3,50.0,0.1,569,197.5,53.99,141.55,990.8,1981.7,4246.5,94,687,3772,6789.6,Reorder Soon,Medium,4.0,Stable,MEDIUM,2024-06-30
P014,Shampoo 400ml,Personal Care,4.99,2.1,7,80.0,0.14,554,138.91,26.01,132.33,926.3,1852.6,3969.8,69,1042,3485,7318.5,Reorder Soon,Medium,4.2,Stable,HIGH,2024-06-30
P040,Frozen Fish Fillets 500g,Frozen Foods,6.5,3.0,6,90.0,0.18,478,122.32,25.69,128.67,900.7,1801.3,3860.0,63,797,3445,10335.0,Reorder Soon,Medium,3.7,Stable,HIGH,2024-06-30
P013,Pretzels 200g,Snacks,2.1,0.95,4,52.0,0.06,490,122.21,24.47,124.09,868.6,1737.2,3722.6,49,538,3282,3117.9,Reorder Soon,Medium,3.9,Stable,HIGH,2024-06-30
P008,Mixed Nuts 200g,Snacks,4.5,2.2,7,75.0,0.12,338,125.25,34.57,104.08,728.6,1457.1,3122.4,92,969,2876,6327.2,Reorder Soon,Medium,3.2,Stable,HIGH,2024-06-30
P017,Body Lotion 200ml,Personal Care,5.5,2.4,7,85.0,0.15,425,126.42,36.12,104.59,732.1,1464.3,3137.7,96,981,2809,6741.6,Reorder Soon,Medium,4.1,Stable,HIGH,2024-06-30
P002,Orange Juice 1L,Beverages,2.2,1.1,4,60.0,0.08,1724,387.35,62.91,386.5,2705.5,5411.0,11595.1,126,1676,9997,10996.7,Healthy Stock,Low,4.5,Stable,MEDIUM,2024-06-30
P032,Sourdough Loaf 600g,Bakery,3.5,1.6,2,45.0,0.09,915,330.57,56.94,338.88,2372.2,4744.3,10166.4,81,742,9332,14931.2,Healthy Stock,Low,2.7,Stable,MEDIUM,2024-06-30
P006,Coconut Water 330ml,Beverages,2.0,0.9,5,55.0,0.07,302,114.88,32.3,143.78,1006.5,2012.9,4313.4,73,647,4084,3675.6,Slow Moving,Low,2.1,Stable,HIGH,2024-06-30
P034,Muffins 6pk,Bakery,3.2,1.4,2,42.0,0.08,509,139.31,26.92,131.89,923.2,1846.5,3956.7,39,317,3487,4881.8,Healthy Stock,Low,3.9,Stable,MEDIUM,2024-06-30
P023,Trash Bags 20pk,Household,4.5,2.0,6,70.0,0.13,527,121.87,25.35,126.2,883.4,1766.8,3786.0,63,794,3322,6644.0,Slow Moving,Low,4.2,Stable,HIGH,2024-06-30
P010,Rice Cakes 100g,Snacks,1.6,0.7,5,50.0,0.05,460,109.88,22.04,118.18,827.3,1654.5,3545.4,50,599,3135,2194.5,Slow Moving,Low,3.9,Stable,HIGH,2024-06-30
P029,Cream Cheese 200g,Dairy,2.9,1.4,3,48.0,0.08,408,111.45,23.23,115.04,805.3,1610.5,3451.2,41,375,3084,4317.6,Slow Moving,Low,3.5,Stable,MEDIUM,2024-06-30
P022,Laundry Detergent 1kg,Household,7.99,3.5,8,100.0,0.22,503,111.68,23.91,114.97,804.8,1609.6,3449.2,68,962,3014,10549.0,Slow Moving,Low,4.4,Stable,HIGH,2024-06-30
P035,Rye Bread 500g,Bakery,2.9,1.25,2,40.0,0.07,289,100.03,21.35,101.56,710.9,1421.9,3046.9,31,231,2789,3486.25,Slow Moving,Low,2.8,Stable,MEDIUM,2024-06-30
P018,Razor 5pk,Personal Care,6.99,3.1,6,90.0,0.18,358,83.93,18.32,82.07,574.5,1149.0,2462.2,45,549,2149,6661.9,Slow Moving,Low,4.4,Stable,HIGH,2024-06-30
P004,Green Tea Bags 50pk,Beverages,3.5,1.8,7,70.0,0.1,246,83.97,23.47,70.21,491.5,983.0,2106.4,63,650,1923,3461.4,Slow Moving,Low,3.5,Stable,HIGH,2024-06-30
